PlotID,Repeat,C,N,CN,d13C,d15N
1252,Pooled,44.32,2.91,15.23036464,-16.35,0.74
1253,Pooled,46.34,3.51,13.21305005,-15.91,4.41
1254,1,,,,,
1254,2,,,,,
1254,3,,,,,
1254,Pooled,44.35,2.67,16.62224454,-15.66,2.82
1255,1,39.87,3.14,12.70965206,-15.96,1.50
1255,2,42.37,2.75,15.37805951,-15.81,2.20
1255,3,41.49,2.81,14.77715174,-15.84,1.78
1256,Pooled,60.81,4.59,13.2380168,-15.83,2.93
1257,Pooled,43.09,3.01,14.30793143,-15.77,2.20
1258,Pooled,43.29,3.39,12.77991487,-15.75,2.96
1259,1,41.89,1.87,22.35216345,-15.82,2.10
1259,2,43.57,2.85,15.27758428,-16.16,2.79
1259,3,42.94,2.76,15.56100464,-16.65,3.68
1260,Pooled,43.68,2.88,15.1647634,-15.75,1.86
1261,Pooled,42.70,2.43,17.58587602,-15.53,1.83
1262,Pooled,45.13,3.26,13.84045023,-15.88,2.37
1263,Pooled,46.50,2.21,21.04785164,-15.81,1.96
1264,Pooled,44.40,2.88,15.39849344,-15.05,3.64
1265,1,41.59,2.55,16.30675285,-16.49,4.67
1265,2,42.68,2.94,14.51560127,-16.56,4.44
1265,3,44.04,2.84,15.53450619,-16.93,3.96
1266,Pooled,43.07,2.53,17.04366469,-15.70,2.90
1267,1,44.61,3.51,12.70138178,-16.03,2.27
1267,2,43.70,2.95,14.79217934,-15.89,1.30
1267,3,45.76,3.20,14.27716703,-15.61,1.60
1268,1,43.83,3.24,13.53141213,-15.92,2.03
1268,2,43.06,3.00,14.34911418,-15.91,0.91
1268,3,43.24,3.12,13.84064542,-15.78,0.38
1269,Pooled,44.03,4.03,10.92762825,-15.64,2.39
1270,1,42.97,3.49,12.31615923,-15.74,3.50
1270,2,42.91,3.73,11.49418716,-15.83,3.27
1270,3,43.00,3.52,12.20808854,-15.69,3.71
1271,1,41.99,3.50,11.9935088,-16.10,0.95
1271,2,43.21,3.34,12.92448407,-16.15,1.21
1271,3,43.45,3.79,11.4571293,-16.13,0.67
1272,Pooled,46.02,2.49,18.50523799,-15.48,3.18
1273,1,44.28,2.95,15.01999248,-16.03,3.31
1273,2,44.05,2.58,17.05830977,-15.51,3.26
1273,3,45.87,3.23,14.19064817,-15.68,1.43
1274,1,44.06,2.53,17.41897797,-16.06,1.16
1274,2,44.10,2.58,17.10137696,-15.90,1.60
1274,3,43.94,2.91,15.08224173,-16.03,2.14
1275,1,39.83,3.31,12.05064366,-16.49,2.42
1275,2,40.03,3.13,12.76824833,-16.30,1.61
1275,3,41.84,3.11,13.46098297,-16.40,2.65
1276,Pooled,44.16,2.79,15.84982782,-15.34,2.62
1277,Pooled,45.60,3.39,13.45571959,-15.59,2.64
1278,Pooled,42.76,3.37,12.70233054,-16.08,2.99
1279,Pooled,45.13,2.85,15.8140293,-15.53,1.89
